Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 2695, 224,  7,  7,  3,  64,  2, 
Conv2red, 349, 56,  1,  1,  64,  64,  1, 
Conv2, 974, 56,  3,  3,  64,  192,  1, 
Inc3a_1x1, 88, 28,  1,  1,  192,  64,  1, 
Inc3a_3x3red, 131, 28,  1,  1,  192,  96,  1, 
Inc3a_3x3, 171, 28,  3,  3,  96,  128,  1, 
Inc3a_5x5red, 1, 22,  1,  1,  192,  16,  1, 
Inc3a_5x5, 36, 28,  5,  5,  16,  32,  1, 
Inc3a_pp, 44, 28,  1,  1,  192,  32,  1, 
Inc3b_1x1, 196, 28,  1,  1,  256,  128,  1, 
Inc3b_3x3red, 196, 28,  1,  1,  256,  128,  1, 
Inc3b_3x3, 228, 28,  3,  3,  128,  192,  1, 
Inc3b_5x5red, 44, 28,  1,  1,  256,  32,  1, 
Inc3b_5x5, 100, 28,  5,  5,  32,  96,  1, 
Inc3b_pp, 88, 28,  1,  1,  256,  64,  1, 
Inc4a_1x1, 66, 14,  1,  1,  480,  192,  1, 
Inc4a_3x3red, 33, 14,  1,  1,  480,  96,  1, 
Inc4a_3x3, 74, 14,  3,  3,  96,  208,  1, 
Inc4a_5x5red, 1, 6,  1,  1,  480,  16,  1, 
Inc4a_5x5, 5, 13,  5,  5,  16,  48,  1, 
Inc4a_pp, 22, 14,  1,  1,  480,  64,  1, 
Inc4b_1x1, 66, 14,  1,  1,  512,  160,  1, 
Inc4b_3x3red, 40, 14,  1,  1,  512,  112,  1, 
Inc4b_3x3, 74, 14,  3,  3,  112,  224,  1, 
Inc4b_5x5red, 1, 9,  1,  1,  512,  24,  1, 
Inc4b_5x5, 16, 14,  5,  5,  24,  64,  1, 
Inc4b_pp, 22, 14,  1,  1,  512,  64,  1, 
Inc4c_1x1, 49, 14,  1,  1,  512,  128,  1, 
Inc4c_3x3red, 49, 14,  1,  1,  512,  128,  1, 
Inc4c_3x3, 74, 14,  3,  3,  128,  256,  1, 
Inc4c_5x5red, 1, 9,  1,  1,  512,  24,  1, 
Inc4c_5x5, 22, 14,  1,  1,  24,  64,  1, 
Inc4c_pp, 22, 14,  1,  1,  512,  64,  1, 
Inc4d_1x1, 40, 14,  1,  1,  512,  112,  1, 
Inc4d_3x3red, 49, 14,  1,  1,  512,  144,  1, 
Inc4d_3x3, 74, 14,  3,  3,  144,  288,  1, 
Inc4d_5x5red, 1, 11,  1,  1,  512,  32,  1, 
Inc4d_5x5, 16, 14,  5,  5,  32,  64,  1, 
Inc4d_pp, 22, 14,  1,  1,  512,  64,  1, 
Inc4e_1x1, 98, 14,  1,  1,  528,  256,  1, 
Inc4e_3x3red, 66, 14,  1,  1,  528,  160,  1, 
Inc4e_3x3, 146, 14,  3,  3,  160,  320,  1, 
Inc4e_5x5red, 1, 11,  1,  1,  528,  32,  1, 
Inc4e_5x5, 29, 14,  5,  5,  32,  128,  1, 
Inc4e_pp, 49, 14,  1,  1,  528,  128,  1, 
Inc5a_1x1, 25, 7,  1,  1,  832,  256,  1, 
Inc5a_3x3red, 17, 7,  1,  1,  532,  160,  1, 
Inc5a_3x3, 27, 7,  3,  3,  160,  320,  1, 
Inc5a_5x5red, 1, 3,  1,  1,  832,  32,  1, 
Inc5a_5x5, 5, 7,  5,  5,  32,  128,  1, 
Inc5a_pp, 13, 7,  1,  1,  832,  128,  1, 
Inc5b_1x1, 49, 7,  1,  1,  832,  384,  1, 
Inc5b_3x3red, 17, 7,  1,  1,  832,  192,  1, 
Inc5b_3x3, 27, 7,  3,  3,  192,  384,  1, 
Inc5b_5x5red, 1, 5,  1,  1,  832,  48,  1, 
Inc5b_5x5, 5, 7,  5,  5,  32,  128,  1, 
Inc5b_pp, 13, 7,  1,  1,  832,  128,  1, 
FC6, 1, 1,  1,  1,  1024,  1000,  1, 
