Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides
Conv1, 1645, 224, 3, 3, 3, 64, 1, 
Conv2, 1645, 224, 3, 3, 64, 64, 1, 
Conv3, 809, 112, 3, 3, 64, 128, 1, 
Conv4, 809, 112, 3, 3, 128, 128, 1, 
Conv5, 419, 56, 3, 3, 128, 256, 1, 
Conv6, 419, 56, 3, 3, 256, 256, 1, 
Conv7, 419, 56, 3, 3, 256, 256, 1, 
Conv8, 228, 28, 3, 3, 256, 512, 1, 
Conv9, 228, 28, 3, 3, 512, 512, 1, 
Conv10, 228, 28, 3, 3, 512, 512, 1, 
Conv11, 50, 14, 3, 3, 512, 512, 1, 
Conv12, 50, 14, 3, 3, 512, 512, 1, 
Conv13, 50, 14, 3, 3, 512, 512, 1, 
