Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 58,  224,  7,  7, 2, 64,  2,
Conv2red, 28,  56,  1,  1, 32, 64,  1,
Conv2, 30,  56,  3,  3, 64, 192,  1,
Inc3a_1x1, 14,  28,  1,  1, 96, 64,  1,
Inc3a_3x3red, 14,  28,  1,  1, 192, 96,  1,
Inc3a_3x3, 16,  28,  3,  3, 96, 128,  1,
Inc3a_5x5red, 14,  28,  1,  1, 32, 16,  1,
Inc3a_5x5, 18,  28,  5,  5, 6, 32,  1,
Inc3a_pp, 14,  28,  1,  1, 64, 32,  1,
Inc3b_1x1, 14,  28,  1,  1, 256, 128,  1,
Inc3b_3x3red, 14,  28,  1,  1, 256, 128,  1,
Inc3b_3x3, 16,  28,  3,  3, 128, 192,  1,
Inc3b_5x5red, 14,  28,  1,  1, 86, 32,  1,
Inc3b_5x5, 18,  28,  5,  5, 32, 96,  1,
Inc3b_pp, 14,  28,  1,  1, 128, 64,  1,
Inc4a_1x1, 7,  14,  1,  1, 480, 192,  1,
Inc4a_3x3red, 7,  14,  1,  1, 480, 96,  1,
Inc4a_3x3, 9,  14,  3,  3, 96, 208,  1,
Inc4a_5x5red, 7,  14,  1,  1, 80, 16,  1,
Inc4a_5x5, 11,  14,  5,  5, 8, 48,  1,
Inc4a_pp, 7,  14,  1,  1, 240, 64,  1,
Inc4b_1x1, 7,  14,  1,  1, 512, 160,  1,
Inc4b_3x3red, 7,  14,  1,  1, 512, 112,  1,
Inc4b_3x3, 9,  14,  3,  3, 112, 224,  1,
Inc4b_5x5red, 7,  14,  1,  1, 128, 24,  1,
Inc4b_5x5, 11,  14,  5,  5, 12, 64,  1,
Inc4b_pp, 7,  14,  1,  1, 256, 64,  1,
Inc4c_1x1, 7,  14,  1,  1, 512, 128,  1,
Inc4c_3x3red, 7,  14,  1,  1, 512, 128,  1,
Inc4c_3x3, 9,  14,  3,  3, 128, 256,  1,
Inc4c_5x5red, 7,  14,  1,  1, 128, 24,  1,
Inc4c_5x5, 7,  14,  1,  1, 12, 64,  1,
Inc4c_pp, 7,  14,  1,  1, 256, 64,  1,
Inc4d_1x1, 7,  14,  1,  1, 512, 112,  1,
Inc4d_3x3red, 7,  14,  1,  1, 512, 144,  1,
Inc4d_3x3, 9,  14,  3,  3, 144, 288,  1,
Inc4d_5x5red, 7,  14,  1,  1, 171, 32,  1,
Inc4d_5x5, 11,  14,  5,  5, 16, 64,  1,
Inc4d_pp, 7,  14,  1,  1, 256, 64,  1,
Inc4e_1x1, 7,  14,  1,  1, 528, 256,  1,
Inc4e_3x3red, 7,  14,  1,  1, 528, 160,  1,
Inc4e_3x3, 9,  14,  3,  3, 160, 320,  1,
Inc4e_5x5red, 7,  14,  1,  1, 176, 32,  1,
Inc4e_5x5, 11,  14,  5,  5, 32, 128,  1,
Inc4e_pp, 7,  14,  1,  1, 528, 128,  1,
Inc5a_1x1, 4,  7,  1,  1, 832, 256,  1,
Inc5a_3x3red, 4,  7,  1,  1, 532, 160,  1,
Inc5a_3x3, 6,  7,  3,  3, 160, 320,  1,
Inc5a_5x5red, 4,  7,  1,  1, 278, 32,  1,
Inc5a_5x5, 8,  7,  5,  5, 32, 128,  1,
Inc5a_pp, 4,  7,  1,  1, 832, 128,  1,
Inc5b_1x1, 4,  7,  1,  1, 832, 384,  1,
Inc5b_3x3red, 4,  7,  1,  1, 832, 192,  1,
Inc5b_3x3, 6,  7,  3,  3, 192, 384,  1,
Inc5b_5x5red, 4,  7,  1,  1, 416, 48,  1,
Inc5b_5x5, 8,  7,  5,  5, 32, 128,  1,
Inc5b_pp, 4,  7,  1,  1, 832, 128,  1,
FC6, 1,  1,  1,  1, 1024, 1000,  1,
